,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
335,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
336,age,adult,0,0.99895334,adult,mac_hybrid_200_2048_1e-05
337,hair_type,curly,1,0.24021102,wavy,mac_hybrid_200_2048_1e-05
338,hair_color,black,0,0.99728334,black,mac_hybrid_200_2048_1e-05
339,eye_color,black,1,0.8850952,black,mac_hybrid_200_2048_1e-05
340,monk_scale,scale 5,5,0.42469683,scale 7,mac_hybrid_200_2048_1e-05
341,fitz_type,type iv,3,0.88884103,type iv,mac_hybrid_200_2048_1e-05
342,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
343,age,adult,0,0.99980074,adult,mac_hybrid_200_2048_1e-05
344,hair_type,curly,1,0.13867618,coily,mac_hybrid_200_2048_1e-05
345,hair_color,black,0,0.9994118,black,mac_hybrid_200_2048_1e-05
346,eye_color,black,1,0.89738446,black,mac_hybrid_200_2048_1e-05
347,monk_scale,scale 5,5,0.7700896,scale 5,mac_hybrid_200_2048_1e-05
348,fitz_type,type iv,3,0.23653723,type v,mac_hybrid_200_2048_1e-05
349,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
350,age,adult,0,0.9966606,adult,mac_hybrid_200_2048_1e-05
351,hair_type,curly,1,0.5742051,curly,mac_hybrid_200_2048_1e-05
352,hair_color,black,0,0.99940896,black,mac_hybrid_200_2048_1e-05
353,eye_color,black,1,0.8596883,black,mac_hybrid_200_2048_1e-05
354,monk_scale,scale 5,5,0.49421355,scale 5,mac_hybrid_200_2048_1e-05
355,fitz_type,type iv,3,0.25321147,type v,mac_hybrid_200_2048_1e-05
356,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
357,age,adult,0,0.9996778,adult,mac_hybrid_200_2048_1e-05
358,hair_type,curly,1,0.12376334,wavy,mac_hybrid_200_2048_1e-05
359,hair_color,black,0,0.989773,black,mac_hybrid_200_2048_1e-05
360,eye_color,black,1,0.34531456,black,mac_hybrid_200_2048_1e-05
361,monk_scale,scale 5,5,0.071613476,scale 7,mac_hybrid_200_2048_1e-05
362,fitz_type,type iv,3,0.964775,type iv,mac_hybrid_200_2048_1e-05
363,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
364,age,adult,0,0.99861515,adult,mac_hybrid_200_2048_1e-05
365,hair_type,curly,1,0.068510175,wavy,mac_hybrid_200_2048_1e-05
366,hair_color,black,0,0.9996263,black,mac_hybrid_200_2048_1e-05
367,eye_color,black,1,0.9911758,black,mac_hybrid_200_2048_1e-05
368,monk_scale,scale 5,5,0.86896306,scale 5,mac_hybrid_200_2048_1e-05
369,fitz_type,type iv,3,0.6121995,type iv,mac_hybrid_200_2048_1e-05
370,male,1,1,0.9999999,1,mac_hybrid_200_2048_1e-05
371,age,adult,0,0.9996512,adult,mac_hybrid_200_2048_1e-05
372,hair_type,curly,1,0.114404105,wavy,mac_hybrid_200_2048_1e-05
373,hair_color,black,0,0.99990654,black,mac_hybrid_200_2048_1e-05
374,eye_color,black,1,0.7798432,black,mac_hybrid_200_2048_1e-05
375,monk_scale,scale 5,5,0.05502186,scale 7,mac_hybrid_200_2048_1e-05
376,fitz_type,type iv,3,0.78763694,type iv,mac_hybrid_200_2048_1e-05
377,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
378,age,adult,0,0.9989548,adult,mac_hybrid_200_2048_1e-05
379,hair_type,curly,1,0.09126793,straight,mac_hybrid_200_2048_1e-05
380,hair_color,black,0,0.9697071,black,mac_hybrid_200_2048_1e-05
381,eye_color,black,1,0.18551347,brown,mac_hybrid_200_2048_1e-05
382,monk_scale,scale 5,5,0.2452519,scale 6,mac_hybrid_200_2048_1e-05
383,fitz_type,type iv,3,0.43534568,type iv,mac_hybrid_200_2048_1e-05
384,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
385,age,adult,0,0.99811053,adult,mac_hybrid_200_2048_1e-05
386,hair_type,curly,1,0.7376389,curly,mac_hybrid_200_2048_1e-05
387,hair_color,black,0,0.9982986,black,mac_hybrid_200_2048_1e-05
388,eye_color,black,1,0.84584355,black,mac_hybrid_200_2048_1e-05
389,monk_scale,scale 5,5,0.3423254,scale 7,mac_hybrid_200_2048_1e-05
390,fitz_type,type iv,3,0.54310626,type iv,mac_hybrid_200_2048_1e-05
391,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
392,age,adult,0,0.9998317,adult,mac_hybrid_200_2048_1e-05
393,hair_type,curly,1,0.6090988,curly,mac_hybrid_200_2048_1e-05
394,hair_color,black,0,0.99618906,black,mac_hybrid_200_2048_1e-05
395,eye_color,black,1,0.98909783,black,mac_hybrid_200_2048_1e-05
396,monk_scale,scale 5,5,0.14299297,scale 7,mac_hybrid_200_2048_1e-05
397,fitz_type,type iv,3,0.79572064,type iv,mac_hybrid_200_2048_1e-05
398,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
399,age,adult,0,0.9980596,adult,mac_hybrid_200_2048_1e-05
400,hair_type,curly,1,0.039409757,coily,mac_hybrid_200_2048_1e-05
401,hair_color,black,0,0.9999572,black,mac_hybrid_200_2048_1e-05
402,eye_color,black,1,0.7434909,black,mac_hybrid_200_2048_1e-05
403,monk_scale,scale 5,5,0.6865125,scale 5,mac_hybrid_200_2048_1e-05
404,fitz_type,type iv,3,0.08574193,type v,mac_hybrid_200_2048_1e-05
405,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
406,age,adult,0,0.9907108,adult,mac_hybrid_200_2048_1e-05
407,hair_type,curly,1,0.59675735,curly,mac_hybrid_200_2048_1e-05
408,hair_color,black,0,0.9913446,black,mac_hybrid_200_2048_1e-05
409,eye_color,black,1,0.9712534,black,mac_hybrid_200_2048_1e-05
410,monk_scale,scale 5,5,0.1830458,scale 6,mac_hybrid_200_2048_1e-05
411,fitz_type,type iv,3,0.894002,type iv,mac_hybrid_200_2048_1e-05
412,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
413,age,adult,0,0.99950135,adult,mac_hybrid_200_2048_1e-05
414,hair_type,curly,1,0.50172263,curly,mac_hybrid_200_2048_1e-05
415,hair_color,black,0,0.9994178,black,mac_hybrid_200_2048_1e-05
416,eye_color,black,1,0.7741109,black,mac_hybrid_200_2048_1e-05
417,monk_scale,scale 5,5,0.5223191,scale 5,mac_hybrid_200_2048_1e-05
418,fitz_type,type iv,3,0.5064901,type iv,mac_hybrid_200_2048_1e-05
419,male,1,1,0.9999995,1,mac_hybrid_200_2048_1e-05
420,age,adult,0,0.99686855,adult,mac_hybrid_200_2048_1e-05
421,hair_type,curly,1,0.18494241,wavy,mac_hybrid_200_2048_1e-05
422,hair_color,black,0,0.99688596,black,mac_hybrid_200_2048_1e-05
423,eye_color,black,1,0.97286284,black,mac_hybrid_200_2048_1e-05
424,monk_scale,scale 5,5,0.39089087,scale 6,mac_hybrid_200_2048_1e-05
425,fitz_type,type iv,3,0.9976041,type iv,mac_hybrid_200_2048_1e-05
426,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
427,age,adult,0,0.99935025,adult,mac_hybrid_200_2048_1e-05
428,hair_type,curly,1,0.19062185,wavy,mac_hybrid_200_2048_1e-05
429,hair_color,black,0,0.9971961,black,mac_hybrid_200_2048_1e-05
430,eye_color,black,1,0.628765,black,mac_hybrid_200_2048_1e-05
431,monk_scale,scale 5,5,0.64960563,scale 5,mac_hybrid_200_2048_1e-05
432,fitz_type,type iv,3,0.7101685,type iv,mac_hybrid_200_2048_1e-05
433,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
434,age,adult,0,0.9998863,adult,mac_hybrid_200_2048_1e-05
435,hair_type,curly,1,0.54787016,curly,mac_hybrid_200_2048_1e-05
436,hair_color,black,0,0.99905175,black,mac_hybrid_200_2048_1e-05
437,eye_color,black,1,0.8869584,black,mac_hybrid_200_2048_1e-05
438,monk_scale,scale 5,5,0.34467748,scale 6,mac_hybrid_200_2048_1e-05
439,fitz_type,type iv,3,0.5520309,type iv,mac_hybrid_200_2048_1e-05
440,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
441,age,adult,0,0.9482612,adult,mac_hybrid_200_2048_1e-05
442,hair_type,curly,1,0.023358852,coily,mac_hybrid_200_2048_1e-05
443,hair_color,black,0,0.99218565,black,mac_hybrid_200_2048_1e-05
444,eye_color,black,1,0.9392869,black,mac_hybrid_200_2048_1e-05
445,monk_scale,scale 5,5,0.24629658,scale 8,mac_hybrid_200_2048_1e-05
446,fitz_type,type iv,3,0.6721183,type iv,mac_hybrid_200_2048_1e-05
447,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
448,age,adult,0,0.9990233,adult,mac_hybrid_200_2048_1e-05
449,hair_type,curly,1,0.110340014,wavy,mac_hybrid_200_2048_1e-05
450,hair_color,black,0,0.99987876,black,mac_hybrid_200_2048_1e-05
451,eye_color,black,1,0.9758455,black,mac_hybrid_200_2048_1e-05
452,monk_scale,scale 5,5,0.36623746,scale 8,mac_hybrid_200_2048_1e-05
453,fitz_type,type iv,3,0.2846772,type v,mac_hybrid_200_2048_1e-05
454,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
455,age,adult,0,0.98087114,adult,mac_hybrid_200_2048_1e-05
456,hair_type,curly,1,0.7518732,curly,mac_hybrid_200_2048_1e-05
457,hair_color,black,0,0.99961627,black,mac_hybrid_200_2048_1e-05
458,eye_color,black,1,0.98844904,black,mac_hybrid_200_2048_1e-05
459,monk_scale,scale 5,5,0.31242,scale 8,mac_hybrid_200_2048_1e-05
460,fitz_type,type iv,3,0.1718832,type v,mac_hybrid_200_2048_1e-05
461,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
462,age,adult,0,0.99986887,adult,mac_hybrid_200_2048_1e-05
463,hair_type,curly,1,0.9655197,curly,mac_hybrid_200_2048_1e-05
464,hair_color,black,0,0.9991899,black,mac_hybrid_200_2048_1e-05
465,eye_color,black,1,0.21214339,brown,mac_hybrid_200_2048_1e-05
466,monk_scale,scale 5,5,0.6507601,scale 5,mac_hybrid_200_2048_1e-05
467,fitz_type,type iv,3,0.21309909,type v,mac_hybrid_200_2048_1e-05
468,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
469,age,adult,0,0.99921393,adult,mac_hybrid_200_2048_1e-05
470,hair_type,curly,1,0.6371065,curly,mac_hybrid_200_2048_1e-05
471,hair_color,black,0,0.99985313,black,mac_hybrid_200_2048_1e-05
472,eye_color,black,1,0.19359876,blue,mac_hybrid_200_2048_1e-05
473,monk_scale,scale 5,5,0.7515285,scale 5,mac_hybrid_200_2048_1e-05
474,fitz_type,type iv,3,0.81670094,type iv,mac_hybrid_200_2048_1e-05
475,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
476,age,adult,0,0.99979013,adult,mac_hybrid_200_2048_1e-05
477,hair_type,curly,1,0.39063168,wavy,mac_hybrid_200_2048_1e-05
478,hair_color,black,0,0.9950152,black,mac_hybrid_200_2048_1e-05
479,eye_color,black,1,0.8996412,black,mac_hybrid_200_2048_1e-05
480,monk_scale,scale 5,5,0.022179496,scale 6,mac_hybrid_200_2048_1e-05
481,fitz_type,type iv,3,0.022487633,type v,mac_hybrid_200_2048_1e-05
482,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
483,age,adult,0,0.99360716,adult,mac_hybrid_200_2048_1e-05
484,hair_type,curly,1,0.07861049,coily,mac_hybrid_200_2048_1e-05
485,hair_color,black,0,0.9651016,black,mac_hybrid_200_2048_1e-05
486,eye_color,black,1,0.6654067,black,mac_hybrid_200_2048_1e-05
487,monk_scale,scale 5,5,0.43727964,scale 5,mac_hybrid_200_2048_1e-05
488,fitz_type,type iv,3,0.44195464,type v,mac_hybrid_200_2048_1e-05
489,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
490,age,adult,0,0.9943303,adult,mac_hybrid_200_2048_1e-05
491,hair_type,curly,1,0.90481955,curly,mac_hybrid_200_2048_1e-05
492,hair_color,black,0,0.95002687,black,mac_hybrid_200_2048_1e-05
493,eye_color,black,1,0.2715697,green,mac_hybrid_200_2048_1e-05
494,monk_scale,scale 5,5,0.24660176,scale 7,mac_hybrid_200_2048_1e-05
495,fitz_type,type iv,3,0.9170627,type iv,mac_hybrid_200_2048_1e-05
496,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
497,age,adult,0,0.99933296,adult,mac_hybrid_200_2048_1e-05
498,hair_type,curly,1,0.018368723,wavy,mac_hybrid_200_2048_1e-05
499,hair_color,black,0,0.9970106,black,mac_hybrid_200_2048_1e-05
500,eye_color,black,1,0.75808024,black,mac_hybrid_200_2048_1e-05
501,monk_scale,scale 5,5,0.658249,scale 5,mac_hybrid_200_2048_1e-05
502,fitz_type,type iv,3,0.6006276,type iv,mac_hybrid_200_2048_1e-05
503,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
504,age,adult,0,0.9990351,adult,mac_hybrid_200_2048_1e-05
505,hair_type,curly,1,0.31355876,wavy,mac_hybrid_200_2048_1e-05
506,hair_color,black,0,0.5451295,black,mac_hybrid_200_2048_1e-05
507,eye_color,black,1,0.54935884,black,mac_hybrid_200_2048_1e-05
508,monk_scale,scale 5,5,0.4554266,scale 5,mac_hybrid_200_2048_1e-05
509,fitz_type,type iv,3,0.9944793,type iv,mac_hybrid_200_2048_1e-05
510,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
511,age,adult,0,0.99971575,adult,mac_hybrid_200_2048_1e-05
512,hair_type,curly,1,0.9089099,curly,mac_hybrid_200_2048_1e-05
513,hair_color,black,0,0.99830437,black,mac_hybrid_200_2048_1e-05
514,eye_color,black,1,0.9919986,black,mac_hybrid_200_2048_1e-05
515,monk_scale,scale 5,5,0.17308867,scale 6,mac_hybrid_200_2048_1e-05
516,fitz_type,type iv,3,0.043109503,type v,mac_hybrid_200_2048_1e-05
517,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
518,age,adult,0,0.99884206,adult,mac_hybrid_200_2048_1e-05
519,hair_type,curly,1,0.91210425,curly,mac_hybrid_200_2048_1e-05
520,hair_color,black,0,0.99849415,black,mac_hybrid_200_2048_1e-05
521,eye_color,black,1,0.9974788,black,mac_hybrid_200_2048_1e-05
522,monk_scale,scale 5,5,0.56180817,scale 5,mac_hybrid_200_2048_1e-05
523,fitz_type,type iv,3,0.009252715,type v,mac_hybrid_200_2048_1e-05
524,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
525,age,adult,0,0.98441607,adult,mac_hybrid_200_2048_1e-05
526,hair_type,curly,1,0.6693061,curly,mac_hybrid_200_2048_1e-05
527,hair_color,black,0,0.9990062,black,mac_hybrid_200_2048_1e-05
528,eye_color,black,1,0.60477805,black,mac_hybrid_200_2048_1e-05
529,monk_scale,scale 5,5,0.19747451,scale 7,mac_hybrid_200_2048_1e-05
530,fitz_type,type iv,3,0.94428587,type iv,mac_hybrid_200_2048_1e-05
531,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
532,age,adult,0,0.9969463,adult,mac_hybrid_200_2048_1e-05
533,hair_type,curly,1,0.5159268,curly,mac_hybrid_200_2048_1e-05
534,hair_color,black,0,0.9983923,black,mac_hybrid_200_2048_1e-05
535,eye_color,black,1,0.94830316,black,mac_hybrid_200_2048_1e-05
536,monk_scale,scale 5,5,0.11657163,scale 7,mac_hybrid_200_2048_1e-05
537,fitz_type,type iv,3,0.65926534,type iv,mac_hybrid_200_2048_1e-05
538,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
539,age,adult,0,0.99971086,adult,mac_hybrid_200_2048_1e-05
540,hair_type,curly,1,0.8290616,curly,mac_hybrid_200_2048_1e-05
541,hair_color,black,0,0.99968255,black,mac_hybrid_200_2048_1e-05
542,eye_color,black,1,0.81568444,black,mac_hybrid_200_2048_1e-05
543,monk_scale,scale 5,5,0.3691322,scale 5,mac_hybrid_200_2048_1e-05
544,fitz_type,type iv,3,0.7763324,type iv,mac_hybrid_200_2048_1e-05
545,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
546,age,adult,0,0.99926573,adult,mac_hybrid_200_2048_1e-05
547,hair_type,curly,1,0.87496674,curly,mac_hybrid_200_2048_1e-05
548,hair_color,black,0,0.94543314,black,mac_hybrid_200_2048_1e-05
549,eye_color,black,1,0.5701108,black,mac_hybrid_200_2048_1e-05
550,monk_scale,scale 5,5,0.06761802,scale 7,mac_hybrid_200_2048_1e-05
551,fitz_type,type iv,3,0.7757191,type iv,mac_hybrid_200_2048_1e-05
552,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
553,age,adult,0,0.9987042,adult,mac_hybrid_200_2048_1e-05
554,hair_type,curly,1,0.4251122,wavy,mac_hybrid_200_2048_1e-05
555,hair_color,black,0,0.9993218,black,mac_hybrid_200_2048_1e-05
556,eye_color,black,1,0.98748463,black,mac_hybrid_200_2048_1e-05
557,monk_scale,scale 5,5,0.23767543,scale 6,mac_hybrid_200_2048_1e-05
558,fitz_type,type iv,3,0.06577481,type v,mac_hybrid_200_2048_1e-05
559,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
560,age,adult,0,0.99994314,adult,mac_hybrid_200_2048_1e-05
561,hair_type,curly,1,0.4540209,curly,mac_hybrid_200_2048_1e-05
562,hair_color,black,0,0.99916697,black,mac_hybrid_200_2048_1e-05
563,eye_color,black,1,0.7475646,black,mac_hybrid_200_2048_1e-05
564,monk_scale,scale 5,5,0.1428049,scale 6,mac_hybrid_200_2048_1e-05
565,fitz_type,type iv,3,0.5175613,type iv,mac_hybrid_200_2048_1e-05
566,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
567,age,adult,0,0.99651563,adult,mac_hybrid_200_2048_1e-05
568,hair_type,curly,1,0.83241045,curly,mac_hybrid_200_2048_1e-05
569,hair_color,black,0,0.9991147,black,mac_hybrid_200_2048_1e-05
570,eye_color,black,1,0.9886459,black,mac_hybrid_200_2048_1e-05
571,monk_scale,scale 5,5,0.7179255,scale 5,mac_hybrid_200_2048_1e-05
572,fitz_type,type iv,3,0.97522503,type iv,mac_hybrid_200_2048_1e-05
573,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
574,age,adult,0,0.98964894,adult,mac_hybrid_200_2048_1e-05
575,hair_type,curly,1,0.019929199,straight,mac_hybrid_200_2048_1e-05
576,hair_color,black,0,0.9990897,black,mac_hybrid_200_2048_1e-05
577,eye_color,black,1,0.88025635,black,mac_hybrid_200_2048_1e-05
578,monk_scale,scale 5,5,0.0046337135,scale 8,mac_hybrid_200_2048_1e-05
579,fitz_type,type iv,3,0.05779396,type v,mac_hybrid_200_2048_1e-05
580,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
581,age,adult,0,0.99998355,adult,mac_hybrid_200_2048_1e-05
582,hair_type,curly,1,0.14759016,wavy,mac_hybrid_200_2048_1e-05
583,hair_color,black,0,0.9732414,black,mac_hybrid_200_2048_1e-05
584,eye_color,black,1,0.60349023,black,mac_hybrid_200_2048_1e-05
585,monk_scale,scale 5,5,0.29457116,scale 6,mac_hybrid_200_2048_1e-05
586,fitz_type,type iv,3,0.8681192,type iv,mac_hybrid_200_2048_1e-05
587,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
588,age,adult,0,0.98596954,adult,mac_hybrid_200_2048_1e-05
589,hair_type,curly,1,0.050189774,wavy,mac_hybrid_200_2048_1e-05
590,hair_color,black,0,0.30410653,brunette,mac_hybrid_200_2048_1e-05
591,eye_color,black,1,0.43174165,black,mac_hybrid_200_2048_1e-05
592,monk_scale,scale 5,5,0.6359253,scale 5,mac_hybrid_200_2048_1e-05
593,fitz_type,type iv,3,0.34698838,type v,mac_hybrid_200_2048_1e-05
594,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
595,age,adult,0,0.99996185,adult,mac_hybrid_200_2048_1e-05
596,hair_type,curly,1,0.6353588,curly,mac_hybrid_200_2048_1e-05
597,hair_color,black,0,0.9990791,black,mac_hybrid_200_2048_1e-05
598,eye_color,black,1,0.99320894,black,mac_hybrid_200_2048_1e-05
599,monk_scale,scale 5,5,0.053491,scale 6,mac_hybrid_200_2048_1e-05
600,fitz_type,type iv,3,0.45440328,type iv,mac_hybrid_200_2048_1e-05
601,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
602,age,adult,0,0.99929285,adult,mac_hybrid_200_2048_1e-05
603,hair_type,curly,1,0.6036121,curly,mac_hybrid_200_2048_1e-05
604,hair_color,black,0,0.9896785,black,mac_hybrid_200_2048_1e-05
605,eye_color,black,1,0.6755507,black,mac_hybrid_200_2048_1e-05
606,monk_scale,scale 5,5,0.43388107,scale 5,mac_hybrid_200_2048_1e-05
607,fitz_type,type iv,3,0.7768837,type iv,mac_hybrid_200_2048_1e-05
608,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
609,age,adult,0,0.99966633,adult,mac_hybrid_200_2048_1e-05
610,hair_type,curly,1,0.40962422,wavy,mac_hybrid_200_2048_1e-05
611,hair_color,black,0,0.9993206,black,mac_hybrid_200_2048_1e-05
612,eye_color,black,1,0.5706768,black,mac_hybrid_200_2048_1e-05
613,monk_scale,scale 5,5,0.55669117,scale 5,mac_hybrid_200_2048_1e-05
614,fitz_type,type iv,3,0.94207764,type iv,mac_hybrid_200_2048_1e-05
